original_filename,folder,suggested_filename,product,category,simple_description,primary_action,shot_type,hook_score,demo_score,reveal_score,broll_score,visual_interest_score,best_use,tags
IMG_3907.mov,Cleaning Wheels,applying-foam-cleaner-to-wheel.mov,unclear,wheels,Foam cleaner applied to car wheel,applying foam cleaner,demo,7,8,5,7,6,demonstrate foam application on wheels,"wheel, cleaning, foam, demo, car care"
IMG_3908.mov,Cleaning Wheels,wet-cleaned-mercedes-wheel-detail.mov,unclear,wheels,Close-up of wet clean car wheel,show wheel clean,broll,5,4,5,8,7,supporting footage showing clean wheel detail,"wheel,car,clean,wet,mercedes,detail"
IMG_3909.mov,Cleaning Wheels,soapy-cleaning-wheel-closeup.mov,unclear,wheels,Close-up of soapy wheel cleaning,applying foam or soap,broll,3,4,2,7,6,filler or supporting footage in wheel cleaning,"wheel, wheel-cleaning, soap, foam, closeup, broll, car, washing"
IMG_3910.mov,Cleaning Wheels,cleaning-car-wheel-with-barrel-brush.mov,xl barrel brush,wheels,Cleaning car wheel with barrel brush,brushing wheel,demo,6,8,5,6,7,demonstrate wheel cleaning technique,"car,wheel,cleaning,brush,detailing,soap"
IMG_3911.mov,Cleaning Wheels,cleaning-wheels-with-xl-barrel-brush.mov,XL Barrel Brush,wheels,Cleaning wheel spokes with brush,brushing wheels,demo,6,8,5,6,7,Demonstration of wheel cleaning,"wheel, cleaning, brush, car care, soap, detailing"
IMG_3912.mov,Cleaning Wheels,cleaning-wheel-with-barrel-brush.mov,xl barrel brush,wheels,Foaming wheel cleaned with brush,cleaning wheel,demo,7,8,6,7,8,product demonstration or tutorial,"wheel cleaning, barrel brush, foam, soap, washing, car care, detailing"
IMG_3913.mov,Cleaning Wheels,cleaning-wheels-with-xl-barrel-brush.mov,XL Barrel Brush,wheels,Foaming wheel cleaning with brush,scrubbing wheel,demo,7,8,5,6,7,product-demo,"wheels,cleaning,car,brush,foam,suds"
IMG_3914.mov,Cleaning Wheels,cleaning-wheels-with-xl-barrel-brush.mov,XL Barrel Brush,wheels,Foaming and scrubbing car wheel,cleaning wheel,demo,6,8,5,7,7,demonstration of barrel brush use on wheels,"wheel,cleaning,car,detailing,soap,brush,foam"
IMG_3915.mov,Cleaning Wheels,cleaning-wheels-with-xl-barrel-brush.mov,xl barrel brush,wheels,Scrubbing wheels with foam,cleaning wheels,demo,7,9,6,7,8,Show how to scrub wheels properly,"wheels, cleaning, foam, brush, car detailing"
IMG_3916.mov,Cleaning Wheels,cleaning-wheels-with-barrel-brush.mov,xl barrel brush,wheels,washing car alloy wheel with brush,cleaning wheels,demo,7,8,5,6,7,demo product use on wheels,"wheel cleaning,car care,brush,soap,alloy wheels,car detailing"
IMG_3917.mov,Cleaning Wheels,cleaning-wheel-with-barrel-brush.mov,xl barrel brush,wheels,Foaming and scrubbing a car wheel,cleaning wheel with brush,demo,7,8,5,6,7,demonstrate wheel cleaning with foam,"car, wheel, cleaning, foam, barrel brush, detailing"
IMG_3918.mov,Cleaning Wheels,washing-alloy-wheels-with-mitt.mov,Microfibre Wash Mitt,wheels,Washing alloy wheels with mitt,washing wheels,demo,6,8,5,7,7,Show how to clean wheels with mitt,"car,wheel,cleaning,washing,foam,microfibre,mitt"
IMG_3919.mov,Cleaning Wheels,washing-car-wheel-with-microfibre-wash-mitt.mov,Microfibre Wash Mitt,wheels,Foamy wheel cleaning with wash mitt,washing wheel,demo,7,8,6,7,7,Show product use on wheels,"wheel cleaning, microfibre mitt, soap foam, car wash, rim cleaning, detail"
IMG_3920.mov,Cleaning Wheels,washing-wheel-with-microfibre-wash-mitt.mov,Microfibre Wash Mitt,wheels,Cleaning wheel with wash mitt,scrubbing,demo,7,9,6,7,8,demonstrating wheel cleaning technique,"wheel cleaning, wash mitt, car wash, detail, foam, soap, scrubbing"
IMG_3921.mov,Cleaning Wheels,washing-wheel-with-barrel-brush.mov,xl barrel brush,wheels,Cleaning a wheel with XL Barrel Brush,washing wheel,demo,7,9,5,7,8,showing product in action cleaning wheels,"wheel cleaning, washing, xl barrel brush, car care, soap foam"
IMG_3922.mov,Cleaning Wheels,microfibre-wash-mitt-cleaning-wheel.mov,Microfibre Wash Mitt,wheels,Cleaning car wheel with wash mitt,cleaning wheel,demo,7,8,5,6,7,showcase product in-use cleaning wheels,"microfibre, wash mitt, car cleaning, wheels, wheel cleaning, detailing"
IMG_3923.mov,Cleaning Wheels,cleaning-wheel-with-xl-barrel-brush.mov,XL Barrel Brush,wheels,Cleaning wheel with XL Barrel Brush,scrubbing wheel,demo,7,8,4,6,7,demonstrate wheel cleaning technique,"wheel,cleaning,brush,car,detailing,foam,soap"
IMG_3924.mov,Cleaning Wheels,rinsing-wheels-with-pressure-washer.mov,unclear,wheels,Rinsing foam off wheel and tire,rinsing wheels,demo,7,8,5,7,7,Demonstrate foam rinsing process,"wheel, cleaning, foam, rinse, pressure washer, car care"
IMG_3925.mov,Cleaning Wheels,wheel-pressure-wash-cleaning.mov,unclear,wheels,pressure washing clean wheel rim,pressure washing,demo,7,8,6,5,7,demonstrate wheel cleaning with pressure wash,"wheel, cleaning, pressure wash, detailing, car care, rim, rinse"
