original_filename,folder,relative_folder,suggested_filename,product,category,story_role,simple_description,primary_action,shot_type,hook_score,demo_score,reveal_score,broll_score,visual_interest_score,best_use,tags
1200 bonnet .mov,1200,1200,1200gsm-heavy-duty-drying-towel-in-use.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying water droplets with towel,wiping water droplets,demo,6,8,7,5,7,Demonstrate drying towel effectiveness,"car,drying,towel,water-drops,clean,detail,1200gsm,heavy-duty"
1200 close badge.mov,1200,1200,1200gsm-heavy-duty-towel-drying-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying towel removes water from car,drying car hood,demo,6,8,7,5,7,demonstrates drying towel use clearly,"drying towel,car care,water droplets,car detailing,heavy duty,cleaning,rainy car"
1200 rear qtr.mov,1200,1200,1200gsm-heavy-duty-drying-towel-in-use.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Using 1200gsm heavy duty drying towel,drying car surface,demo,6,8,7,5,7,demonstrate towel effectiveness drying car,"car, drying, towel, heavy-duty, wet surface, demonstration, cleaning"
1200 rear window.mov,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying towel removing water on glass,drying car glass,demo,6,8,7,6,7,demonstrate drying power and water removal,"drying,towel,glass,water,car,cleaning,product demo"
1200 roof.mov,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying car roof with heavy duty towel,drying car roof,demo,6,8,6,7,7,demonstrates product use effectively,"drying,towel,car,roof,heavy-duty"
1200 windscreen.mov,1200,1200,1200gsm-heavy-duty-towel-wiping-wet-glass.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Towel removing water from glass,wiping glass,demo,6,8,7,6,7,demonstrating towel drying power,"drying,towel,water-removal,glass,cleaning,car-care"
IMG_0274.mov,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying towel removes water droplets,dry car surface,demo,6,8,7,6,7,demo showing towel's water absorption,"drying,towel,water,car,absorb,clean,detail"
IMG_0275.mov,1200,1200,1200gsm-drying-towel-wiping-water-mist.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Wiping water off shiny car surface,wiping water,demo,6,8,7,6,7,product demonstration of drying towel,"car, drying, towel, 1200gsm, water, wipe, demo"
IMG_0276.mov,1200,1200,1200gsm-towel-drying-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,demonstrating drying towel use on car,drying car surface,demo,5,8,7,6,7,showing towel use and drying result,"drying,towel,car,detailing,clean,wash"
IMG_1194.MOV,1200,1200,1200gsm-heavy-duty-towel-drying-demo.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying car with heavy duty towel,wiping car surface,demo,7,8,7,6,7,demonstrate product drying performance,"drying,towel,car washing,cleaning,heavy duty,1200gsm,car care"
IMG_1195.MOV,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying car with heavy duty towel,drying car surface,demo,6,8,7,6,7,demonstrates product drying capability,"drying,towel,car-care,heavy-duty,water-removal"
IMG_1197.MOV,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Using towel to dry car window,drying car window,demo,6,9,7,6,7,clear demonstration of product use,"car, drying, towel, wet window, cleaning"
IMG_1198.MOV,1200,1200,1200gsm-towel-wiping-water.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Wiping water with heavy duty towel,wiping water,demo,6,8,7,5,7,demonstrating drying towel use,"drying,towel,water,wiping,car"
IMG_1199.MOV,1200,1200,1200gsm-heavy-duty-towel-drying-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying car with towel,drying car surface,demo,6,8,7,6,7,demonstrate towel use and drying effectiveness,"car,drying,towel,clean,water droplets"
IMG_1200.MOV,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Showing towel drying water on car,drying car surface,demo,6,8,7,6,7,demonstrates drying ability clearly,"car, drying, towel, water, demo, wet, clean, surface"
IMG_1201.MOV,1200,1200,1200gsm-heavy-duty-drying-towel-windshield-dry.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying windshield with heavy duty towel,drying windshield,demo,6,8,7,6,7,demonstrate drying towel effectiveness,"drying,towel,car,windshield,water,clean"
IMG_1202.MOV,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Using towel to dry car side,drying car surface,demo,6,9,7,6,7,solution,"car drying, microfiber towel, car detailing, cleaning, wet car, drying"
IMG_1203.MOV,1200,1200,heavy-duty-drying-towel-demonstration.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying car door with towel,drying car door,demo,7,8,7,6,7,demonstrating towel use and effectiveness,"car drying, heavy duty towel, wet car, water droplets, car wash, drying process"
IMG_1204.MOV,1200,1200,heavy-duty-drying-towel-in-action.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying car with heavy duty towel,wiping car surface,demo,6,9,7,5,8,solution clips showing product use,"car wash,drying,towel,heavy duty,cleaning,car detailing"
IMG_1205.MOV,1200,1200,heavy-duty-towel-drying-demo.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying wet car roof with towel,drying car roof,demo,7,9,8,7,8,solution video for drying,"car, drying, towel, 1200gsm, wet, roof, demo"
IMG_1212.MOV,1200,1200,heavy-duty-drying-towel-water-removal-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Using towel to dry car surface,wiping car surface,demo,7,9,8,6,7,demonstrating product use and drying result,"drying towel, heavy duty, car surface, water removal, demo, wiping, clean car, shiny paint"
IMG_1213.MOV,1200,1200,1200gsm-heavy-duty-towel-wiping-wet-car.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Wiping wet car with drying towel,wiping car surface,demo,7,9,8,6,8,demonstrate drying towel effectiveness,"car, drying, towel, wet, cleaning, 1200gsm, heavy duty"
IMG_1221.MOV,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying car roof with heavy duty towel,drying car roof,demo,5,8,6,4,6,demonstrates product use clearly,"drying,towel,car roof,water removal,heavy duty"
IMG_1319.mov,1200,1200,1200gsm-heavy-duty-drying-towel-showcase.mov,1200gsm Heavy Duty Drying Towel,drying,product_showcase,Showcasing heavy-duty drying towel,display towel packaging,product_shot,6,3,4,7,5,product introduction,"drying towel, packaging, car care, detailing"
IMG_1336.mov,1200,1200,heavy-duty-towel-drying-wet-car.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying wet car with towel,wiping water off,demo,6,8,6,7,7,demonstrate drying method and product effectiveness,"car, drying, towel, water, clean, wipe, 1200gsm"
IMG_1343.mov,1200,1200,water-beading-on-1200gsm-towel.mov,1200gsm Heavy Duty Drying Towel,drying,problem,Water beads on car surface,show water drops,hook,7,2,5,6,7,opening shot showing water beading before drying,"water, beads, car, surface, wet, drying, 1200gsm"
IMG_1345.mov,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Using towel to dry wet car,drying car surface,demo,7,9,8,6,7,showcasing drying effectiveness,"drying,towel,car care,wet car,cleaning"
IMG_1346.mov,1200,1200,1200gsm-heavy-duty-drying-towel-wiping-dew.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying towel wiping water droplets,wiping water droplets,demo,6,8,5,6,7,demonstrating drying towel use,"drying,towel,water,droplets,clean,car"
IMG_1358.mov,1200,1200,street-kingz-1200gsm-heavy-duty-drying-towel-packaging.mov,1200gsm Heavy Duty Drying Towel,drying,product_showcase,Packaged 1200gsm drying towel close-up,show packaging,product_shot,6,3,2,7,5,Product showcase or broll clip,"towel, drying, packaging, heavy-duty, close-up, product"
IMG_1359.mov,1200,1200,1200gsm-heavy-duty-towel-product-shot.mov,1200gsm Heavy Duty Drying Towel,drying,product_showcase,Towel package on car roof,static display,product_shot,6,3,2,7,6,product showcase and b-roll,"towel, packaging, car, drying, product, showcase"
IMG_4002.mov,1200,1200,water-beading-on-car-surface-before-and-after-drying.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Water beads before and after drying,drying car surface,demo,6,8,7,6,7,solution clip showing drying effectiveness,"water beads,drying,towel,car care,cleaning"
IMG_4004.mov,1200,1200,heavy-duty-towel-drying-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying rear window with towel,drying car window,demo,5,9,6,7,7,show towel effectiveness drying water droplets,"drying,towel,heavy duty,car window,water droplets,cleaning,demo"
IMG_4005.mov,1200,1200,water-drops-on-car-rear-window.mov,1200gsm Heavy Duty Drying Towel,drying,problem,Water droplets on rear car window,show water droplets,hook,7,3,2,6,7,opening clip highlighting water residue problem,"car, water, droplets, rear window, washing, drying problem, street kingz"
IMG_4006.mov,1200,1200,1200gsm-heavy-duty-towel-drying-demonstration.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying towel on wet car glass,drying glass,demo,4,7,6,5,7,demonstrate drying effectiveness,"car, drying towel, water droplets, glass cleaning"
IMG_4007.mov,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,Drying towel removes water droplets,wiping water off car,demo,6,9,7,6,7,demonstrate drying and water absorption,"drying towel,water droplets,car roof,cleaning,drying"
IMG_4008.mov,1200,1200,cleaning-car-window-with-1200gsm-towel.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Using towel to clean car window,wiping window,demo,6,8,7,6,7,demonstrating towel cleaning action,"car, window, towel, cleaning, drying, 1200gsm, demo"
IMG_4009.mov,1200,1200,1200gsm-heavy-duty-drying-towel-demo.mov,1200gsm Heavy Duty Drying Towel,drying,demo,drying wet car surface with towel,drying,demo,6,9,7,5,7,solution,"drying,towel,car wash,wet surface,product demo,1200gsm"
IMG_4011.mov,1200,1200,heavy-duty-towel-drying-water-droplets.mov,1200gsm Heavy Duty Drying Towel,drying,result,Water droplets on car before drying,show water droplets,reveal,6,2,7,6,7,result clip showing drying challenge,"water droplets,car roof,car paint,wet surface,pre-drying"
IMG_4012.mov,1200,1200,1200gsm-heavy-duty-drying-towel-wet-to-dry.mov,1200gsm Heavy Duty Drying Towel,drying,solution,Drying wet car surface with towel,drying car surface,demo,6,9,8,7,7,demonstrates drying towel use and result,"wet car, drying, towel, car care, cleaning, water droplets"
